subject,version,assignmentId,trial,practice,opt1_id,opt2_id,attributes,opt1_values,opt2_values,choice,orig_choice,rt,stamp,id
5a5bff49acc75b00017a6009,ma_choice_v4_observers_pilot3,5a5bff49acc75b00017a6009,0,1,-1,-1,"Year building was built,Amount of traffic,Size of home,Reputation of closest school,Quality of kitchen,Noise pollution,Closeness to parks,Quality of heat/AC system,Size of yard","2013,A Lot,700 square feet,Good,Very Bad,High,10 min away,Very Good,350 square feet","1974,A Little,1200 square feet,Very Bad,Moderate,Very Low,30 min away,Very Bad,100 square feet",0,0,43694,2022-06-20 20:44:50,110389
5a5bff49acc75b00017a6009,ma_choice_v4_observers_pilot3,5a5bff49acc75b00017a6009,1,1,-1,-1,"Amount of traffic,Noise pollution,Closeness to parks,Size of yard,Reputation of closest school,Size of home,Quality of heat/AC system,Quality of kitchen,Year building was built","Very Little,Very Low,20 min away,450 square feet,Moderate,1800 square feet,Moderate,Very Bad,2005","A Lot,Moderate,30 min away,150 square feet,Very Good,1400 square feet,Very Bad,Moderate,1970",0,0,53045,2022-06-20 20:45:44,110390
5a5bff49acc75b00017a6009,ma_choice_v4_observers_pilot3,5a5bff49acc75b00017a6009,2,1,-1,-1,"Size of yard,Year building was built,Amount of traffic,Reputation of closest school,Quality of heat/AC system,Size of home,Quality of kitchen,Closeness to parks,Noise pollution","400 square feet,1973,A Moderate Amount,Good,Very Good,1100 square feet,Good,25 min away,Very Low","50 square feet,2012,Very Little,Bad,Very Bad,1300 square feet,Bad,15 min away,High",1,1,55855,2022-06-20 20:46:40,110391
5a5bff49acc75b00017a6009,ma_choice_v4_observers_pilot3,5a5bff49acc75b00017a6009,3,1,-1,-1,"Year building was built,Amount of traffic,Closeness to parks,Quality of heat/AC system,Size of yard,Reputation of closest school,Size of home,Noise pollution,Quality of kitchen","1974,A Lot,20 min away,Very Bad,450 square feet,Good,1100 square feet,Very Low,Moderate","2020,A Little,30 min away,Good,200 square feet,Very Bad,1500 square feet,Very High,Very Bad",1,1,33614,2022-06-20 20:47:15,110392
5a5bff49acc75b00017a6009,ma_choice_v4_observers_pilot3,5a5bff49acc75b00017a6009,4,1,-1,-1,"Reputation of closest school,Size of yard,Size of home,Amount of traffic,Year building was built,Noise pollution,Closeness to parks,Quality of heat/AC system,Quality of kitchen","Good,600 square feet,1100 square feet,A Lot,1971,Low,30 min away,Good,Good","Very Bad,300 square feet,1400 square feet,Very Little,2008,High,10 min away,Bad,Bad",1,1,36202,2022-06-20 20:47:52,110393
5a5bff49acc75b00017a6009,ma_choice_v4_observers_pilot3,5a5bff49acc75b00017a6009,5,1,-1,-1,"Quality of kitchen,Size of home,Reputation of closest school,Quality of heat/AC system,Size of yard,Year building was built,Amount of traffic,Closeness to parks,Noise pollution","Very Bad,600 square feet,Good,Very Good,500 square feet,1950,A Lot,20 min away,Very High","Good,900 square feet,Very Bad,Moderate,350 square feet,1995,Very Little,10 min away,Very Low",1,1,35827,2022-06-20 20:48:29,110394
5a5bff49acc75b00017a6009,ma_choice_v4_observers_pilot3,5a5bff49acc75b00017a6009,6,1,-1,-1,"Size of yard,Quality of heat/AC system,Size of home,Noise pollution,Amount of traffic,Closeness to parks,Reputation of closest school,Quality of kitchen,Year building was built","250 square feet,Very Good,800 square feet,Low,A Lot,30 min away,Moderate,Bad,1953","100 square feet,Moderate,1700 square feet,High,A Little,20 min away,Very Good,Very Good,1993",1,1,27726,2022-06-20 20:48:58,110395
5a5bff49acc75b00017a6009,ma_choice_v4_observers_pilot3,5a5bff49acc75b00017a6009,7,1,-1,-1,"Quality of heat/AC system,Size of home,Reputation of closest school,Size of yard,Noise pollution,Amount of traffic,Closeness to parks,Quality of kitchen,Year building was built","Bad,1600 square feet,Very Good,300 square feet,Low,Very Little,30 min away,Very Good,2009","Good,1400 square feet,Moderate,150 square feet,Very High,A Lot,15 min away,Moderate,1950",0,0,41367,2022-06-20 20:49:40,110396
5a5bff49acc75b00017a6009,ma_choice_v4_observers_pilot3,5a5bff49acc75b00017a6009,8,1,-1,-1,"Amount of traffic,Reputation of closest school,Size of yard,Noise pollution,Closeness to parks,Year building was built,Size of home,Quality of heat/AC system,Quality of kitchen","A Little,Very Bad,350 square feet,Very High,10 min away,1972,1000 square feet,Very Good,Very Bad","A Lot,Moderate,150 square feet,Low,25 min away,2016,1300 square feet,Moderate,Good",1,1,37094,2022-06-20 20:50:18,110397
5a5bff49acc75b00017a6009,ma_choice_v4_observers_pilot3,5a5bff49acc75b00017a6009,9,1,-1,-1,"Size of yard,Closeness to parks,Year building was built,Amount of traffic,Quality of kitchen,Size of home,Quality of heat/AC system,Noise pollution,Reputation of closest school","300 square feet,15 min away,2006,A Lot,Very Bad,1100 square feet,Moderate,Moderate,Very Bad","500 square feet,25 min away,1955,Very Little,Very Good,1500 square feet,Very Good,Very Low,Moderate",0,0,34349,2022-06-20 20:50:54,110398
