subject,version,assignmentId,attribute,scale,min_diff,lb,ub,postfix,stamp,id
607ec28e6a0bde56a9d69ddc,ma_choice_v4_pilot2,607ec28e6a0bde56a9d69ddc,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-05-23 11:32:19,14869
607ec28e6a0bde56a9d69ddc,ma_choice_v4_pilot2,607ec28e6a0bde56a9d69ddc,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-05-23 11:32:19,14870
607ec28e6a0bde56a9d69ddc,ma_choice_v4_pilot2,607ec28e6a0bde56a9d69ddc,Size of yard,"",150,0,600, square feet,2022-05-23 11:32:19,14871
607ec28e6a0bde56a9d69ddc,ma_choice_v4_pilot2,607ec28e6a0bde56a9d69ddc,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-05-23 11:32:19,14872
607ec28e6a0bde56a9d69ddc,ma_choice_v4_pilot2,607ec28e6a0bde56a9d69ddc,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,"","","",2022-05-23 11:32:19,14873
607ec28e6a0bde56a9d69ddc,ma_choice_v4_pilot2,607ec28e6a0bde56a9d69ddc,Year building was built,"",20,1950,2020,"",2022-05-23 11:32:19,14874
607ec28e6a0bde56a9d69ddc,ma_choice_v4_pilot2,607ec28e6a0bde56a9d69ddc,Closeness to cafes/restaurants,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-05-23 11:32:19,14875
607ec28e6a0bde56a9d69ddc,ma_choice_v4_pilot2,607ec28e6a0bde56a9d69ddc,Amount of natural light,"Very Little,A Little,A Moderate Amount,A Lot",2,"","","",2022-05-23 11:32:19,14876
607ec28e6a0bde56a9d69ddc,ma_choice_v4_pilot2,607ec28e6a0bde56a9d69ddc,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-05-23 11:32:19,14877
607ec28e6a0bde56a9d69ddc,ma_choice_v4_pilot2,607ec28e6a0bde56a9d69ddc,Size of home,"",200,600,1800, square feet,2022-05-23 11:32:19,14878
