"item_id","title","action","cult classic","drama","fantasy world","science fiction","romantic","suspense","art","funny","quirky","adventure","violent"
100,"City Hall (1996)",0.21561813,0.18157157,0.7633263,0.5039128,0.33028245,0.1867798,0.5702802,0.017388701,0.009212077,0.07392758,0.045293003,0.39778566
102,"Mr. Wrong (1996)",0.1800543,0.44352102,0.11440849,0.38435316,0.30381918,0.70463943,0.13884604,0.27971256,0.6846788,0.61460745,0.38126802,0.111650616
103,"Unforgettable (1996)",0.36816537,0.29032195,0.100198746,0.50308776,0.2583953,0.16794407,0.8535894,0.11183107,0.015267849,0.19458726,0.011426419,0.38323987
107,"Muppet Treasure Island (1996)",0.05383268,0.15981269,0.03497863,0.63232803,0.29346073,0.04551986,0.01032114,0.16292435,0.5640627,0.03314179,0.75538266,0.33367568
108,"Catwalk (1996)",0.114703,0.40540266,0.1771695,0.662807,0.3029759,0.065700054,0.12646821,0.061933935,0.027180642,0.11919314,0.036343753,0.026461005
113,"Before and After (1996)",0.055065334,0.16936207,0.60869634,0.4297502,0.32363653,0.16368753,0.5490538,0.14255685,0.016412884,0.027904093,0.09337723,0.010954261
118,"If Lucy Fell (1996)",0.081499904,0.18613833,0.12230185,0.49707043,0.36647928,0.8696306,0.1515463,0.80697906,0.4791751,0.7544348,0.018419862,0.014975578
122,"Boomerang (1992)",0.23393396,0.2651288,0.076393515,0.3678072,0.31796527,0.7798132,0.053743154,0.29226303,0.70154333,0.55938315,0.04289943,0.014262557
128,"Jupiter's Wife (1994)",0.03599757,0.46219897,0.06624931,0.55401015,0.25768518,0.047578305,0.0079301,0.43932545,0.015649587,0.07967323,0.029397905,0.15376395
129,"Pie in the Sky (1996)",0.045467556,0.65341353,0.11892545,0.7128978,0.39811802,0.8351233,0.015440345,0.20508114,0.15640649,0.81588244,0.018557787,0.14693522
131,"Frankie Starlight (1995)",0.05693376,0.121620595,0.35299993,0.76795316,0.37932968,0.049577147,0.068675816,-0.003804028,0.040717423,0.3508284,0.010850757,0.008315206
132,"Jade (1995)",0.2938801,0.17746976,0.093007594,0.40115696,0.42281562,0.055104196,0.57045424,0.4644854,0.047257572,0.021174699,0.047684073,0.5173049
136,"From the Journals of Jean Seberg (1995)",0.04480964,0.39895225,0.05484271,0.64776707,0.27102435,0.0037488341,0.02100867,0.9964993,0.019391835,0.25347543,0.040476292,0.019768387
137,"Man of the Year (1995)",0.04981211,0.4126624,0.064572394,0.6488446,0.32838744,0.023531377,0.010357082,0.21502885,0.09675151,0.10963631,0.56805813,0.016453207
138,"Neon Bible, The (1995)",0.035166174,0.33929026,0.03172046,0.59163857,0.29178715,0.014624804,0.008393943,0.052694917,0.010192752,0.18917724,0.005201727,0.5057963
146,"Amazing Panda Adventure, The (1995)",0.11090547,0.18447945,0.06814748,0.6801491,0.2258741,0.12980023,0.061120898,0.11026943,0.16576138,0.14376429,0.7389355,0.0088457465
148,"Awfully Big Adventure, An (1995)",0.041676104,0.44281733,0.60983133,0.6481775,0.32930386,0.23304614,0.24609724,0.3868459,0.057660997,0.2946204,0.22036555,0.07178879
