subject,version,assignmentId,signed_attributes,signed_weights,strategy,comments,consistency,attention,choice_exp,choice_domain,decisionstyle_responses,bidr_responses,acs_responses,mindfulness_responses,selfknowledge_responses,attention_check,gender,age,race,edu,income,nativeEng,mtvScale,total_time,stamp,id
5bff110c1ad00400016981d1,ma_choice_v2_pilot2,"",2,2,I've tried to make sure that the house was large and had an AC and a large yard/garage.,,75,100,2,33,"62,72,72,66,85,19,35,30,39,24","51,34,55,21,63,40,38,60,67,36,53,27,48,100,100,50","45,68,52,6,55,43,37,26,45,9","85,65,59,51,47,54,46,56,44,51,41,38,58,42","60,63,42,49,44,45,39,49,40,52,45,44",I will complete this study with my full attention,Male,,White,High school,"$50,000 - $65,000",Yes,"Large house and AC over everything.
Noise was also an important factor.",3820356,2021-10-24 17:03:45,46
5be9fd84271bf10001525264,ma_choice_v2_pilot2,"",1,2,"first choice was size. then i looked at the bedrooms,garage and i moved on to yard, and of course a/c. than i looked at washer dryer. so if the house was small and no yard i looked at the garage. thinking if house was smaller but had a big garage thatd be my choice. if it had no yard but a big garage and large size sqft thatd be my choice.",,87,100,1,33,"100,56,61,79,79,51,52,31,46,21","50,9,33,4,50,52,67,82,27,34,23,50,47,33,21,21","32,22,15,33,12,13,52,33,67,66","53,51,25,2,52,10,56,53,4,51,26,58,26,55","19,51,25,49,51,59,49,61,30,31,75,23",I will complete this study with my full attention,Female,,White,High school,"$5,000 - $10,000",Yes,"size was always the first choice. whether it was the sqft or the bedrooms. than the garage and yard. a/c washer dryer. climate ,noise,schools,shopping and light were only used when i had no yard garage size or bedrooms to decide from.",2707773,2021-10-24 17:21:42,47
5d8d8f8a7df28500133337d1,ma_choice_v2_pilot2,"",1,2,i have to have at least 2 bedrpooms also i have alot of plants so need alot of natural light have to have a ac and washer and dryer,,75,100,2,67,"100,100,100,100,100,100,100,9,2,7","100,55,52,6,6,59,74,59,0,100,0,0,0,55,100,100","71,66,75,56,11,45,50,48,47,46","54,48,49,0,0,0,77,39,24,0,0,46,51,0","78,100,100,65,58,57,53,50,51,51,16,9",I will complete this study with my full attention,Male,,White,High school,"$5,000 - $10,000",Yes,2 bedroom natural light ac and washer and dryer,2482523,2021-10-24 17:26:36,48
5c1d10be426c440001885e1c,ma_choice_v2_pilot2,"",1,2,"I looked at the size of the house, number of bedrooms, noise pollution and climate settings to make most of my choices. Higher preference to climate and size of the home.",,98,100,1,81,"89,85,85,85,87,12,56,22,49,11","16,89,78,6,3,52,86,2,52,14,51,73,71,11,28,10","4,5,75,91,6,9,73,5,77,83","100,98,4,24,3,78,2,5,12,24,96,97,18,26","98,94,92,62,22,26,31,5,5,7,5,5",I will complete this study with my full attention.,Female,,White,4 year degree,"$65,000 - $80,000",Yes,What I thought would work better for my current living situation. The larger the space and better the climate took preference.,2057549,2021-10-24 18:53:10,49
55b6d0a4fdf99b437183f9b5,ma_choice_v2_pilot2,"",1,2,"I looked at the things listed which mattered to me and chose from there. For example, I would take a house with natural light, low noise pollution, close to water, close to restaurants. I didn't pay attention to the school information as I don't care about their reputation when deciding on a home.",,75,100,2,32,"75,72,73,73,73,2,5,3,4,3","10,50,0,31,0,81,80,0,0,100,28,0,0,100,100,100","0,0,0,68,0,0,65,0,66,67","0,24,0,0,0,0,0,0,0,0,76,23,0,0","51,49,52,49,50,50,50,50,52,50,73,49",I will complete this study with my full attention.,Female,,White,Postgraduate/Professional degree/other,"$10,000 - $15,000",Yes,"My choices were: low noise pollution, good climate, restaurants etc. nearby, proximity to beaches. The other choices did not influence my decision.",4116672,2021-10-24 19:34:59,50
5b9b4cc406114100010660f0,ma_choice_v2_pilot2,"",1,1,size of byard number of bedrooms,,100,100,1,33,"100,100,100,100,100,100,100,100,0,100","46,100,0,0,100,99,99,49,0,99,99,0,0,99,100,99","0,0,0,100,0,0,99,31,99,99","0,75,0,0,74,0,26,20,0,78,0,49,0,48","99,100,100,26,0,0,0,0,0,0,48,0",i WILL COMPLETE THIS STUDY WITH MY FULL ATTENTION,Male,,White,High school,"$15,000 - $25,000",Yes,I thought about what i would like in a house and i paid attention to what house how more of what i wanted,1609748,2021-10-24 19:39:40,51
57dda8dc5e1b5f0001d2d5b1,ma_choice_v2_pilot2,"",2,2,"I weighted my options, if the schools were good and very good then they didn't matter much to me, but otherwise it was the biggest factor, then stuff like climate and noise which would affect the comfort of the house, but it would depend on whether the difference between the two houses was big, otherwise one could get used to it, the age of the house is important due to how many troubles they might give, and I cared more about central ac than fireplace, and a lot of the other things were more like ""nice to haves"" but not worth it if I was sacrificing other stuff over it",,64,82,2,26,"76,66,83,84,80,26,40,15,29,21","24,48,11,13,19,62,61,22,39,64,14,25,0,95,81,91","21,15,36,69,35,9,70,26,63,63","76,60,8,0,80,15,25,0,10,82,60,62,16,85","68,64,81,76,28,29,17,27,0,14,72,14",I will complete this study with my full attention.,Male,,"Hispanic, Latinx, or Spanish origin",High school,"$65,000 - $80,000",Yes,"Mostly stuff that'd be important for the future of my family, so the biggest factor was school, the comfort based around noise and climate, but it'd depend on if there was a big difference, then stuff like a big enough house and enough bedrooms are big pluses so that family can visit, paint and floor doesn't matter much, I find that age matters more in regard to how much maintenance it's likely to need. Natural light didn't matter much to me, or whether there was a fireplace or not, nice but not a requirement, and not worth other sacrifices. I didn't care much about the distance with cafes, beaches, etc, but still nice to have",2685174,2021-10-24 20:14:17,52
5f4d2221a1cde598e2369c70,ma_choice_v2_pilot2,"",1,2,many of the options did not apply to me so I basically looked at my most important criteria first if it was listed and then went from there,,96,100,2,61,"97,98,100,98,98,53,58,59,57,53","59,17,69,10,97,36,28,74,66,8,67,77,82,16,88,39","71,30,61,55,36,67,56,72,33,34","59,23,37,77,73,50,72,54,76,53,77,76,78,49","69,52,56,72,60,63,74,64,74,72,77,78",I will complete this study with my full attention.,Female,,White,Some college,"$15,000 - $25,000",Yes,central air was first followed by washer/dryer. ,1515973,2021-10-24 20:16:55,53
5f4f8db38647e304a863fdfc,ma_choice_v2_pilot2,"",1,2,"Well, I was just going by my own thoughts of what would be the best house for me from the two I was shown, and just selecting which one was better than the other.",,73,80,3,32,"85,69,77,76,53,61,70,61,68,53","85,73,51,32,29,71,67,34,63,51,61,47,68,49,77,51","69,48,74,64,37,46,72,74,47,59","55,79,25,34,18,70,29,49,21,33,66,76,29,51","76,86,66,56,54,57,66,49,61,43,50,33",I will complete this study with my full attention.,Male,,White,Prefer not to say,"Under $5,000",Yes,"For me, the most important was usually the reputation of area around me, as well the schools.",1417896,2021-10-24 20:20:50,54
5cdf1cb57f65ee001a9856fa,ma_choice_v2_pilot2,"",1,2,"first size of home, number of bedrooms, size of yard and garage. Next amenities such as washer/dryer, hardwood floors, et cetera. least important to me was schools as I do not have children",,100,100,3,100,"100,100,100,100,100,19,14,10,16,12","6,100,39,7,8,76,92,49,4,2,2,2,47,91,100,92","6,14,5,90,3,3,94,7,92,97","77,100,19,1,95,3,6,17,4,54,100,100,50,52","88,100,100,29,24,14,6,2,2,1,3,2",I will complete this study with my full attention.,Female,,White,Postgraduate/Professional degree/other,"Over $100,000",Yes,"I gave each feature a positive or negative attribute (right hand left hand) and then weight (one, two or three fingers)",1807758,2021-10-24 20:25:38,55
