subject,version,assignmentId,trial,practice,opt1_id,opt2_id,attributes,opt1_values,opt2_values,choice,orig_choice,rt,stamp,id
5ff0f1b0dd8cf14ba8957c5b,ma_choice_v4_social_pilot1,5ff0f1b0dd8cf14ba8957c5b,0,1,-1,-1,"Number of other people present,Amount of music,Amount of physical activity,Distance from home,Amount of alcohol present,Indoors vs. outdoors,Amount of food present,Duration,Opportunity to socialize","9 people,None,None,30 min away,A Lot,Half Indoors and Half Outdoors,A Moderate Amount,30 minutes,None","5 people,A Moderate Amount,A Lot,15 min away,None,All Outdoors,None,70 minutes,A Moderate Amount",0,,16652,2022-06-27 19:03:00,194872
5ff0f1b0dd8cf14ba8957c5b,ma_choice_v4_social_pilot1,5ff0f1b0dd8cf14ba8957c5b,1,1,-1,-1,"Duration,Amount of food present,Indoors vs. outdoors,Amount of physical activity,Amount of music,Opportunity to socialize,Amount of alcohol present,Distance from home,Number of other people present","60 minutes,None,Mostly Indoors,None,A Moderate Amount,A Moderate Amount,A Moderate Amount,25 min away,5 people","40 minutes,A Moderate Amount,Mostly Outdoors,A Moderate Amount,None,None,None,50 min away,7 people",0,,4259,2022-06-27 19:03:05,194899
5ff0f1b0dd8cf14ba8957c5b,ma_choice_v4_social_pilot1,5ff0f1b0dd8cf14ba8957c5b,2,1,-1,-1,"Indoors vs. outdoors,Opportunity to socialize,Amount of physical activity,Number of other people present,Distance from home,Amount of music,Amount of alcohol present,Amount of food present,Duration","Half Indoors and Half Outdoors,A Little,A Little,8 people,45 min away,A Moderate Amount,A Moderate Amount,A Lot,80 minutes","All Indoors,A Lot,A Lot,5 people,30 min away,None,None,A Little,30 minutes",0,,3221,2022-06-27 19:03:09,194912
5ff0f1b0dd8cf14ba8957c5b,ma_choice_v4_social_pilot1,5ff0f1b0dd8cf14ba8957c5b,3,1,-1,-1,"Duration,Amount of alcohol present,Amount of music,Opportunity to socialize,Distance from home,Number of other people present,Amount of physical activity,Indoors vs. outdoors,Amount of food present","60 minutes,A Lot,None,A Little,30 min away,5 people,A Little,Mostly Indoors,A Moderate Amount","30 minutes,A Little,A Lot,A Lot,20 min away,11 people,A Lot,Mostly Outdoors,None",1,,2591,2022-06-27 19:03:13,194931
5ff0f1b0dd8cf14ba8957c5b,ma_choice_v4_social_pilot1,5ff0f1b0dd8cf14ba8957c5b,4,1,-1,-1,"Distance from home,Amount of physical activity,Indoors vs. outdoors,Amount of music,Amount of alcohol present,Opportunity to socialize,Number of other people present,Amount of food present,Duration","40 min away,A Little,Mostly Indoors,A Little,None,A Little,11 people,None,60 minutes","20 min away,A Lot,All Outdoors,A Lot,A Lot,A Lot,3 people,A Lot,30 minutes",1,,6457,2022-06-27 19:03:20,194958
5ff0f1b0dd8cf14ba8957c5b,ma_choice_v4_social_pilot1,5ff0f1b0dd8cf14ba8957c5b,5,1,-1,-1,"Distance from home,Amount of food present,Number of other people present,Indoors vs. outdoors,Amount of alcohol present,Amount of physical activity,Opportunity to socialize,Amount of music,Duration","45 min away,None,5 people,All Indoors,A Moderate Amount,A Lot,A Lot,None,70 minutes","35 min away,A Lot,3 people,All Outdoors,None,A Little,A Little,A Lot,40 minutes",0,,11887,2022-06-27 19:03:33,195008
5ff0f1b0dd8cf14ba8957c5b,ma_choice_v4_social_pilot1,5ff0f1b0dd8cf14ba8957c5b,6,1,-1,-1,"Amount of physical activity,Amount of alcohol present,Amount of food present,Opportunity to socialize,Indoors vs. outdoors,Distance from home,Amount of music,Duration,Number of other people present","A Moderate Amount,A Moderate Amount,A Moderate Amount,A Little,Mostly Indoors,10 min away,A Little,30 minutes,11 people","None,None,None,A Lot,All Outdoors,25 min away,A Lot,70 minutes,4 people",0,,5343,2022-06-27 19:03:39,195028
5ff0f1b0dd8cf14ba8957c5b,ma_choice_v4_social_pilot1,5ff0f1b0dd8cf14ba8957c5b,7,1,-1,-1,"Duration,Amount of alcohol present,Number of other people present,Amount of music,Amount of physical activity,Distance from home,Indoors vs. outdoors,Opportunity to socialize,Amount of food present","80 minutes,A Moderate Amount,7 people,None,A Little,15 min away,All Outdoors,A Moderate Amount,A Little","40 minutes,None,9 people,A Lot,A Lot,45 min away,Half Indoors and Half Outdoors,None,A Lot",1,,2089,2022-06-27 19:03:42,195042
5ff0f1b0dd8cf14ba8957c5b,ma_choice_v4_social_pilot1,5ff0f1b0dd8cf14ba8957c5b,8,1,-1,-1,"Indoors vs. outdoors,Amount of physical activity,Amount of food present,Distance from home,Amount of music,Opportunity to socialize,Duration,Amount of alcohol present,Number of other people present","Half Indoors and Half Outdoors,A Little,A Lot,10 min away,A Lot,A Little,60 minutes,A Moderate Amount,6 people","All Outdoors,A Lot,None,35 min away,A Little,A Lot,80 minutes,None,4 people",0,,6320,2022-06-27 19:03:50,195068
5ff0f1b0dd8cf14ba8957c5b,ma_choice_v4_social_pilot1,5ff0f1b0dd8cf14ba8957c5b,9,1,-1,-1,"Amount of food present,Opportunity to socialize,Distance from home,Amount of music,Indoors vs. outdoors,Amount of physical activity,Duration,Number of other people present,Amount of alcohol present","A Moderate Amount,None,35 min away,A Moderate Amount,Half Indoors and Half Outdoors,None,50 minutes,8 people,A Lot","None,A Lot,45 min away,None,All Indoors,A Lot,90 minutes,6 people,None",0,,3558,2022-06-27 19:03:54,195086
