subject,version,assignmentId,signed_attributes,signed_weights,full_or_lex,confidence,strategy,metastrategy,consistency1,consistency2,appropriateness,attention,choice_exp,choice_domain,meditation_exp1,meditation_exp2,meditation_exp3,decisionstyle_responses,bidr_responses,acs_responses,mindfulness_responses,sris_responses,maia_responses,icar_responses,icar_correct,icar_num_correct,scale_rts,question_rts,attention_check,gender,age,race,edu,income,nativeEng,feedback,instructions_times,total_time,stamp,id
5eb080ccaf87d11143472477,ma_choice_v3_followup_real1,5eb080ccaf87d11143472477,,,,,,,,,,,,,,,,"4,4,3,3,4,2,2,2,2,3",,"1,1,0,2,2,0,1,0,1,1,1,1,2,1,1,0,1,1,1,1","2,1,2,1,2,0,1,2,1,2,3,2","0,0,4,1,4,4,1,4,4,4,4,3,4,1,4,0,4,1,1,3","4,3,4,4,4,4,3,4,4,4,4,3,4,5,3,4,4,3,4,4,4,4","{""VR.4"":""5"",""VR.16"":""Richard is shorter than Matt"",""VR.17"":""57"",""VR.19"":""Sunday"",""LN.7"":""V"",""LN.33"":""G"",""LN.34"":""X"",""LN.58"":""M"",""MX.45"":""C"",""MX.46"":""B"",""MX.47"":""C"",""MX.55"":""D"",""R3D.3"":""E"",""R3D.4"":""D"",""R3D.6"":""E"",""R3D.8"":""D""}","[""LN.33"",""LN.34"",""MX.46"",""MX.55"",""VR.4"",""VR.19""]",6,"{""maia"":92149.19999998808,""mindfulness"":36003.200000047684,""sris"":65012.5,""acs"":98403.5,""decisionstyle"":19268,""icar"":152085.39999997616}",,,,,,,,,Everything was okay except for that last difficult task,"[1861.9000000357628,11079.899999976158,7655.899999976158,1680.2000000476837,2735.899999976158,2711.899999976158]",1411752,2022-01-28 16:31:31,264
6101f6f45269e30a22fc4526,ma_choice_v3_followup_real1,6101f6f45269e30a22fc4526,,,,,,,,,,,,,,,,"3,3,3,3,3,3,2,2,2,2",,"1,1,1,2,1,2,1,1,2,2,2,1,2,0,2,2,2,1,1,1","2,2,2,1,1,1,2,2,2,2,2,2","1,1,4,1,4,4,1,4,4,4,4,4,4,3,3,3,0,2,1,1","4,4,4,4,4,4,4,4,4,2,4,4,4,4,5,4,4,4,4,4,4,4","{""VR.4"":""6"",""VR.16"":""Richard is as tall as Matt"",""VR.17"":""39"",""VR.19"":""Monday"",""LN.7"":""X"",""LN.33"":""H"",""LN.34"":""Y"",""LN.58"":""H"",""MX.45"":""E"",""MX.46"":""C"",""MX.47"":""B"",""MX.55"":""E"",""R3D.3"":""C"",""R3D.4"":""C"",""R3D.6"":""B"",""R3D.8"":""C""}","[""LN.7"",""MX.45"",""MX.47"",""R3D.3""]",4,"{""decisionstyle"":47365,""maia"":62572.199999928474,""sris"":70541,""acs"":98056,""mindfulness"":38170.5,""icar"":128093.5}",,,,,,,,,no,"[1798.2000000476837,16512.799999952316,9190,7832.200000047684,13749.099999904633,7772]",1506718,2022-01-28 16:34:25,265
5f0a5a99dbbf721316f118e2,ma_choice_v3_followup_real1,5f0a5a99dbbf721316f118e2,,,,,,,,,,,,,,,,"3,3,3,3,3,1,2,1,1,2",,"1,0,1,1,2,1,1,1,3,2,1,0,2,0,3,1,1,2,2,1","2,2,0,1,1,2,3,1,0,1,1,2","4,2,1,4,1,1,2,3,1,1,2,1,3,1,3,3,4,1,2,4","5,5,2,2,3,1,2,1,0,3,0,1,3,0,1,0,1,0,1,2,2,3","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Sunday"",""LN.7"":""X"",""LN.33"":""G"",""LN.34"":""X"",""LN.58"":""N"",""MX.45"":""E"",""MX.46"":""B"",""MX.47"":""B"",""MX.55"":""C"",""R3D.3"":""D"",""R3D.4"":""B"",""R3D.6"":""F"",""R3D.8"":""D""}","[""LN.7"",""LN.33"",""LN.34"",""LN.58"",""MX.45"",""MX.46"",""MX.47"",""R3D.4"",""R3D.6"",""VR.4"",""VR.16"",""VR.17"",""VR.19""]",13,"{""decisionstyle"":28100.399999976158,""mindfulness"":25732.5,""acs"":81082.59999999404,""maia"":66903.69999998808,""sris"":50681.69999998808,""icar"":535587.8000000119}",,,,,,,,,Nothing was confusing. I think it took as much time as you said it would.,"[1686.5,6781.800000011921,4364.5,1638.5,7174.5999999940395,3171.9000000059605]",1748047,2022-01-28 16:37:29,266
611bef869f91f800ad3b193e,ma_choice_v3_followup_real1,611bef869f91f800ad3b193e,,,,,,,,,,,,,,,,"3,3,3,4,3,1,3,3,2,2",,"0,1,1,1,2,0,1,1,2,1,1,1,2,0,2,0,1,1,1,1","2,0,0,1,1,1,1,1,1,1,2,3","1,1,4,1,4,4,1,4,4,4,4,4,4,3,4,2,1,1,1,4","4,4,2,3,1,4,0,4,4,2,3,4,2,4,4,4,2,3,1,1,4,4","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Wednesday"",""LN.7"":""X"",""LN.33"":""E"",""LN.34"":""U"",""LN.58"":""H"",""MX.45"":""D"",""MX.46"":""D"",""MX.47"":""F"",""MX.55"":""F"",""R3D.3"":""E"",""R3D.4"":""G"",""R3D.6"":""B"",""R3D.8"":""D""}","[""LN.7"",""VR.4"",""VR.16"",""VR.17""]",4,"{""sris"":69532.79999995232,""maia"":99529.90000009537,""decisionstyle"":43659.90000009537,""mindfulness"":36050.799999952316,""acs"":96403.5,""icar"":432672.7999999523}",,,,,,,,,I believe it took less time.,"[3997.800000190735,26919.699999809265,7735.600000143051,8368.200000047684,17391.799999952316,6279.700000047684]",1704881,2022-01-28 16:38:34,267
60b9689dc626572895cb801b,ma_choice_v3_followup_real1,60b9689dc626572895cb801b,,,,,,,,,,,,,,,,"4,4,4,4,4,1,1,1,1,1",,"1,1,1,2,2,1,1,1,1,2,1,1,2,0,1,1,2,1,2,1","2,1,1,1,2,1,1,2,2,2,2,2","0,0,4,0,5,5,0,5,5,5,4,4,5,3,5,0,0,1,0,4","4,4,4,4,2,3,3,4,1,3,4,4,4,4,4,4,4,4,3,4,4,4","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Sunday"",""LN.7"":""X"",""LN.33"":""G"",""LN.34"":""X"",""LN.58"":""N"",""MX.45"":""E"",""MX.46"":""B"",""MX.47"":""B"",""MX.55"":""D"",""R3D.3"":""C"",""R3D.4"":""G"",""R3D.6"":""F"",""R3D.8"":""B""}","[""LN.7"",""LN.33"",""LN.34"",""LN.58"",""MX.45"",""MX.46"",""MX.47"",""MX.55"",""R3D.3"",""R3D.6"",""VR.4"",""VR.16"",""VR.17"",""VR.19""]",14,"{""decisionstyle"":43633,""maia"":71062,""mindfulness"":37044,""sris"":57356,""acs"":100677,""icar"":701375}",,,,,,,,,"no feedback. It did not seem confusing. The time was accurate, it possibly took a little less time that anticipated.","[1255,11684,6907,6840,10641,5808]",1880002,2022-01-28 16:39:33,268
56e60e39f7957b000b18e37b,ma_choice_v3_followup_real1,56e60e39f7957b000b18e37b,,,,,,,,,,,,,,,,"4,3,4,4,3,2,3,2,4,3",,"1,2,2,2,3,1,2,2,2,2,1,1,3,2,2,1,3,1,1,2","2,2,2,1,2,0,1,1,2,3,1,2","1,0,4,1,5,3,0,4,3,4,4,4,5,1,3,2,3,2,2,5","2,3,4,3,4,3,4,4,4,5,4,4,4,5,4,4,3,3,4,5,5,4","{""VR.4"":""4"",""VR.16"":""It is impossible to tell"",""VR.17"":""57"",""VR.19"":""Saturday"",""LN.7"":""T"",""LN.33"":""F"",""LN.34"":""V"",""LN.58"":""M"",""MX.45"":""C"",""MX.46"":""A"",""MX.47"":""D"",""MX.55"":""C"",""R3D.3"":""E"",""R3D.4"":""C"",""R3D.6"":""B"",""R3D.8"":""C""}","[""VR.16""]",1,"{""sris"":31078.899999976158,""mindfulness"":15166.5,""acs"":29151.100000023842,""decisionstyle"":14995.700000047684,""maia"":29268,""icar"":153756.20000004768}",,,,,,,,,none,"[76143.10000002384,6460.100000023842,1699.7999999523163,1199,5528,1919.1000000238419]",1254020,2022-01-28 16:41:44,269
5c69f9dd4b5bb30001b3d31c,ma_choice_v3_followup_real1,5c69f9dd4b5bb30001b3d31c,,,,,,,,,,,,,,,,"4,4,4,4,4,2,2,2,2,2",,"0,1,1,3,2,1,1,2,2,3,1,0,2,2,1,0,2,2,3,0","1,2,1,1,3,1,2,3,1,1,2,2","0,0,5,0,4,3,0,5,5,5,5,4,5,0,4,0,0,0,0,5","4,5,3,3,1,0,1,4,1,2,1,4,5,2,3,2,3,0,0,2,1,3","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Sunday"",""LN.7"":""X"",""LN.33"":""I"",""LN.34"":""X"",""LN.58"":""N"",""MX.45"":""E"",""MX.46"":""B"",""MX.47"":""B"",""MX.55"":""D"",""R3D.3"":""F"",""R3D.4"":""B"",""R3D.6"":""D"",""R3D.8"":""G""}","[""LN.7"",""LN.34"",""LN.58"",""MX.45"",""MX.46"",""MX.47"",""MX.55"",""R3D.4"",""R3D.8"",""VR.4"",""VR.16"",""VR.17"",""VR.19""]",13,"{""maia"":82047,""sris"":33041,""acs"":75008.29999995232,""decisionstyle"":20876.299999952316,""mindfulness"":35400.59999990463,""icar"":846743.5999999046}",,,,,,,,,It was fine.,"[4004.4000000953674,11507.200000047684,3645,12535.599999904633,7600,5071.900000095367]",1965483,2022-01-28 16:42:37,270
5dcf402982569a08ddd84086,ma_choice_v3_followup_real1,5dcf402982569a08ddd84086,,,,,,,,,,,,,,,,"3,3,3,3,3,1,2,1,1,1",,"1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1","2,2,2,1,2,1,1,2,1,2,2,2","1,1,4,0,3,4,1,4,4,4,4,4,4,1,4,1,1,1,1,4","3,4,4,4,4,3,4,3,3,4,4,5,3,4,4,4,3,3,4,4,4,4","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Sunday"",""LN.7"":""X"",""LN.33"":""G"",""LN.34"":""X"",""LN.58"":""J"",""MX.45"":""E"",""MX.46"":""B"",""MX.47"":""F"",""MX.55"":""C"",""R3D.3"":""B"",""R3D.4"":""B"",""R3D.6"":""F"",""R3D.8"":""G""}","[""LN.7"",""LN.33"",""LN.34"",""MX.45"",""MX.46"",""R3D.4"",""R3D.6"",""R3D.8"",""VR.4"",""VR.16"",""VR.17"",""VR.19""]",12,"{""maia"":46217.5,""sris"":40575.09999996424,""mindfulness"":27097.19999998808,""decisionstyle"":18773,""acs"":56102.59999996424,""icar"":345186.39999997616}",,,,,,,,,no feedback,"[1831.5,3937.900000035763,3251.199999988079,1192.5999999642372,9000.600000023842,2441.100000023842]",1817582,2022-01-28 16:47:34,271
5783027f913c71000197300d,ma_choice_v3_followup_real1,5783027f913c71000197300d,,,,,,,,,,,,,,,,"4,4,4,4,4,2,2,1,0,0",,"0,0,0,1,1,1,0,0,0,2,2,1,2,1,0,0,2,0,1,2","3,3,3,2,3,0,2,3,1,2,3,3","5,0,5,0,5,5,0,5,5,5,4,5,5,0,5,0,0,0,0,5","4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5","{""VR.4"":""5"",""VR.16"":""Richard is shorter than Matt"",""VR.17"":""39"",""VR.19"":""Monday"",""LN.7"":""T"",""LN.33"":""F"",""LN.34"":""V"",""LN.58"":""M"",""MX.45"":""B"",""MX.46"":""B"",""MX.47"":""A"",""MX.55"":""D"",""R3D.3"":""D"",""R3D.4"":""D"",""R3D.6"":""E"",""R3D.8"":""E""}","[""MX.46"",""MX.55"",""VR.4""]",3,"{""decisionstyle"":53472.39999985695,""mindfulness"":80795.40000009537,""maia"":123107.90000009537,""acs"":164594.10000014305,""sris"":110597.59999990463,""icar"":305305.09999990463}",,,,,,,,,none,"[4198.5,14295.900000095367,16174.899999856949,3272.5,26820.900000095367,5600.5]",1823762,2022-01-28 16:50:00,272
5c55fec09fcbc40001dc50b5,ma_choice_v3_followup_real1,5c55fec09fcbc40001dc50b5,,,,,,,,,,,,,,,,"4,4,4,4,4,0,3,1,2,1",,"1,1,1,2,0,1,1,0,1,1,1,0,1,0,2,1,1,1,1,1","2,1,1,1,1,0,0,3,0,3,3,1","3,3,0,4,0,0,4,0,0,0,3,1,5,0,5,0,0,0,0,5","5,5,5,3,4,3,5,4,4,4,4,4,0,0,1,1,0,0,3,4,1,3","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Sunday"",""LN.7"":""X"",""LN.33"":""G"",""LN.34"":""X"",""LN.58"":""N"",""MX.45"":""F"",""MX.46"":""E"",""MX.47"":""B"",""MX.55"":""D"",""R3D.3"":""H"",""R3D.4"":""H"",""R3D.6"":""H"",""R3D.8"":""H""}","[""LN.7"",""LN.33"",""LN.34"",""LN.58"",""MX.47"",""MX.55"",""VR.4"",""VR.16"",""VR.17"",""VR.19""]",10,"{""mindfulness"":62932,""maia"":405057.59999990463,""decisionstyle"":42117.39999985695,""sris"":238224,""acs"":289943,""icar"":325184.7999999523}",,,,,,,,,"Nothing was confusing, it took about as long as expected.","[2936.5999999046326,101654.70000004768,5616.299999952316,6733,16040,7668.600000143051]",2314419,2022-01-28 16:51:54,273
