"Size of home,Reputation of closest school,Washer/dryer in unit,Quality of heat/AC system,Amount of traffic,Amount of natural light,Closeness to parks,Noise pollution,Year building was built,Size of yard,Closeness to cafes/restaurants,Closeness to public transportation","1000 square feet,Very Good,No,Very Good,A Lot,A Moderate Amount,10 min away,Very High,1971,400 square feet,15 min away,20 min away","1700 square feet,Bad,Yes,Bad,A Little,Very Little,30 min away,Moderate,1995,200 square feet,25 min away,10 min away"
"Reputation of closest school,Washer/dryer in unit,Closeness to parks,Closeness to public transportation,Quality of heat/AC system,Size of yard,Amount of traffic,Noise pollution,Amount of natural light,Closeness to cafes/restaurants,Year building was built,Size of home","Very Good,No,10 min away,30 min away,Bad,600 square feet,Very Little,Moderate,Very Little,15 min away,1981,1800 square feet","Very Bad,Yes,20 min away,20 min away,Very Good,200 square feet,A Lot,Very High,A Lot,30 min away,1955,1100 square feet"
"Quality of heat/AC system,Closeness to parks,Amount of natural light,Size of home,Washer/dryer in unit,Reputation of closest school,Noise pollution,Closeness to public transportation,Year building was built,Amount of traffic,Closeness to cafes/restaurants,Size of yard","Very Bad,20 min away,A Moderate Amount,800 square feet,Yes,Good,Very Low,10 min away,1960,A Moderate Amount,20 min away,300 square feet","Moderate,10 min away,Very Little,1400 square feet,No,Very Bad,High,30 min away,2004,Very Little,10 min away,100 square feet"
"Quality of heat/AC system,Closeness to cafes/restaurants,Noise pollution,Closeness to parks,Amount of traffic,Year building was built,Washer/dryer in unit,Amount of natural light,Size of yard,Size of home,Closeness to public transportation,Reputation of closest school","Very Good,25 min away,Very High,15 min away,A Lot,2006,No,Very Little,300 square feet,800 square feet,30 min away,Very Good","Bad,10 min away,Low,30 min away,Very Little,1957,Yes,A Moderate Amount,50 square feet,1600 square feet,10 min away,Bad"
"Quality of heat/AC system,Washer/dryer in unit,Closeness to parks,Amount of traffic,Year building was built,Size of yard,Closeness to public transportation,Size of home,Reputation of closest school,Closeness to cafes/restaurants,Amount of natural light,Noise pollution","Good,No,30 min away,A Lot,2012,300 square feet,25 min away,800 square feet,Very Bad,15 min away,A Moderate Amount,High","Very Bad,Yes,10 min away,Very Little,1992,600 square feet,10 min away,1100 square feet,Very Good,30 min away,Very Little,Low"
"Closeness to cafes/restaurants,Washer/dryer in unit,Size of yard,Size of home,Reputation of closest school,Amount of natural light,Closeness to public transportation,Closeness to parks,Amount of traffic,Quality of heat/AC system,Noise pollution,Year building was built","20 min away,Yes,400 square feet,800 square feet,Good,A Moderate Amount,30 min away,10 min away,A Lot,Good,Very High,2017","10 min away,No,600 square feet,1700 square feet,Very Bad,Very Little,10 min away,30 min away,A Little,Bad,Very Low,1973"
"Size of yard,Amount of natural light,Closeness to cafes/restaurants,Amount of traffic,Noise pollution,Closeness to parks,Year building was built,Quality of heat/AC system,Size of home,Washer/dryer in unit,Closeness to public transportation,Reputation of closest school","600 square feet,Very Little,25 min away,A Moderate Amount,Very High,15 min away,1954,Moderate,1500 square feet,Yes,15 min away,Very Good","300 square feet,A Lot,10 min away,Very Little,Very Low,30 min away,1983,Very Good,800 square feet,No,25 min away,Very Bad"
"Closeness to parks,Reputation of closest school,Closeness to cafes/restaurants,Washer/dryer in unit,Year building was built,Amount of traffic,Amount of natural light,Size of yard,Size of home,Closeness to public transportation,Noise pollution,Quality of heat/AC system","10 min away,Moderate,25 min away,No,1998,Very Little,A Little,350 square feet,1800 square feet,30 min away,Very Low,Very Bad","20 min away,Very Good,15 min away,Yes,1952,A Moderate Amount,A Lot,550 square feet,600 square feet,10 min away,Moderate,Very Good"
"Closeness to parks,Size of yard,Noise pollution,Washer/dryer in unit,Closeness to cafes/restaurants,Amount of natural light,Size of home,Year building was built,Amount of traffic,Closeness to public transportation,Quality of heat/AC system,Reputation of closest school","20 min away,450 square feet,Low,No,20 min away,A Little,1000 square feet,1989,Very Little,20 min away,Moderate,Bad","30 min away,150 square feet,High,Yes,10 min away,A Lot,1200 square feet,1957,A Moderate Amount,30 min away,Very Bad,Very Good"
"Amount of natural light,Closeness to cafes/restaurants,Closeness to public transportation,Year building was built,Washer/dryer in unit,Quality of heat/AC system,Amount of traffic,Size of yard,Size of home,Noise pollution,Reputation of closest school,Closeness to parks","A Moderate Amount,30 min away,15 min away,1984,No,Very Bad,A Little,100 square feet,1600 square feet,Low,Very Bad,10 min away","Very Little,10 min away,30 min away,1963,Yes,Moderate,A Lot,550 square feet,700 square feet,Very High,Very Good,30 min away"
"Reputation of closest school,Year building was built,Washer/dryer in unit,Size of home,Noise pollution,Closeness to cafes/restaurants,Quality of heat/AC system,Amount of traffic,Amount of natural light,Closeness to public transportation,Closeness to parks,Size of yard","Bad,1988,No,1700 square feet,Low,20 min away,Very Bad,A Little,A Lot,15 min away,20 min away,150 square feet","Very Good,1964,Yes,1400 square feet,High,30 min away,Moderate,A Lot,A Little,25 min away,30 min away,350 square feet"
"Closeness to cafes/restaurants,Year building was built,Amount of traffic,Quality of heat/AC system,Washer/dryer in unit,Reputation of closest school,Size of home,Closeness to public transportation,Closeness to parks,Amount of natural light,Size of yard,Noise pollution","10 min away,1958,A Little,Very Good,Yes,Bad,1700 square feet,30 min away,30 min away,A Little,150 square feet,Very Low","25 min away,2001,A Lot,Bad,No,Good,700 square feet,20 min away,15 min away,A Lot,350 square feet,Very High"
