"Closeness to parks","Amount of traffic","Closeness to cafes/restaurants","Washer/dryer in unit","Size of yard","Closeness to public transportation","Amount of natural light","Quality of heat/AC system","Year building was built","Reputation of closest school","Noise pollution","Size of home"
3,1,1,1,350,3,2,4,1961,1,1,800
2,1,3,2,100,4,1,2,2016,1,5,1800
5,4,4,2,150,4,2,5,1961,5,4,800
5,4,4,2,550,2,2,2,1967,3,1,1800
2,1,2,1,600,5,2,5,2001,5,4,1500
1,4,2,2,300,1,2,1,1991,2,5,1200
5,3,4,2,400,5,2,5,2018,5,5,1800
1,3,3,1,550,5,2,3,1974,1,1,1100
4,1,2,2,300,5,1,1,2001,5,2,900
1,2,5,1,200,4,2,1,1953,4,5,900
5,3,1,2,350,2,1,5,2007,4,5,1100
1,1,1,2,200,1,4,5,1960,1,1,1700
3,2,5,1,550,1,3,4,1974,1,1,1100
5,4,3,2,100,2,3,1,2006,5,2,1100
2,1,5,2,300,1,2,5,1966,2,1,800
3,3,5,2,450,3,4,4,2008,4,5,1400
5,1,1,1,550,2,1,2,1999,4,1,1300
5,4,1,1,400,5,4,5,1971,5,2,1300
2,1,4,2,550,5,4,4,1985,1,1,700
5,4,1,2,100,5,4,4,1997,2,5,600
1,2,5,1,250,1,4,3,1985,2,1,700
2,2,1,1,550,1,3,5,1984,5,2,900
4,4,5,2,600,5,1,2,2001,2,5,1600
5,4,2,2,50,5,1,4,1981,4,4,900
1,4,1,2,50,5,4,5,1953,4,2,1700
3,4,2,1,400,5,4,3,1992,1,3,1700
1,4,4,2,50,5,1,1,1957,5,4,1100
5,3,1,1,550,2,2,4,2005,2,3,600
5,4,4,2,50,1,3,4,2016,4,3,1700
1,2,5,2,250,2,1,1,2005,2,1,1800
2,1,2,2,300,1,4,5,1964,1,2,1100
1,1,1,1,50,2,2,5,1958,3,1,1800
4,4,3,1,100,3,1,5,1950,3,4,1700
3,4,4,1,500,4,2,1,1992,5,1,800
3,1,5,2,250,4,1,1,1983,2,3,1600
3,3,3,2,400,4,4,2,2017,4,1,1100
2,4,4,1,200,4,1,1,2005,4,2,1400
3,2,5,1,200,4,1,2,1951,5,5,900
4,4,4,2,150,5,3,2,1964,4,1,1000
2,1,1,1,50,3,1,3,2002,1,3,800
5,4,1,1,350,4,4,2,2005,2,1,1600
4,1,2,2,300,3,1,4,1974,5,4,700
2,1,4,1,500,1,3,5,2005,1,3,1700
5,3,5,2,0,4,2,1,1980,5,2,1000
3,4,4,2,300,5,3,5,1986,5,1,800
3,1,2,2,500,3,1,3,1958,1,5,1200
5,4,1,2,50,4,4,1,1999,5,5,1600
4,4,2,2,300,4,4,1,2000,4,5,1400
2,2,1,2,50,5,2,1,1963,4,1,1700
1,1,1,2,50,1,1,2,1975,3,4,1400
5,2,5,2,500,4,1,1,1964,5,4,1000
1,1,4,1,100,5,4,1,1991,2,3,1700
1,1,3,2,100,3,1,1,1979,1,4,1300
3,4,2,2,500,4,4,5,1979,3,1,800
5,4,5,2,450,5,1,2,1964,1,5,600
1,1,4,2,600,5,2,1,1963,1,3,1100
5,1,5,2,550,2,2,2,2008,1,1,1300
2,2,3,1,450,4,4,1,1980,1,4,700
5,4,4,2,500,5,3,5,1950,4,1,1400
5,1,1,1,300,5,1,5,2011,2,1,600
5,1,1,2,550,3,1,5,1968,4,5,1400
5,2,1,2,600,1,1,2,1963,4,2,1400
1,4,4,2,500,3,3,2,1971,5,1,1200
2,4,3,1,500,5,4,4,1963,2,3,600
4,4,4,1,100,4,4,4,2017,3,5,1300
5,1,2,1,250,5,2,2,1958,1,5,1700
5,1,3,1,400,4,1,4,1959,1,1,1300
5,1,1,1,550,1,1,5,1983,4,2,1600
4,1,2,1,600,3,2,2,1952,1,2,700
4,2,2,1,250,3,2,1,1975,1,1,1500
2,3,5,2,50,1,4,2,1983,4,5,800
4,4,2,2,550,4,4,2,1980,1,2,1100
5,3,3,1,550,1,2,3,1995,4,2,1200
2,1,5,1,0,2,3,4,2002,5,4,800
4,4,1,2,50,3,1,1,2005,1,2,1100
