"Closeness.to.parks","Amount.of.traffic","Closeness.to.cafes.restaurants","Quality.of.kitchen","Size.of.yard","Closeness.to.public.transportation","Amount.of.natural.light","Quality.of.heat.AC.system","Year.building.was.built","Reputation.of.closest.school","Noise.pollution","Size.of.home"
1,1,2,4,350,1,2,3,1995,1,1,900
5,1,5,2,300,2,1,2,2009,5,2,1600
1,1,1,5,300,3,2,2,2008,1,4,1400
5,2,4,4,200,1,1,4,2020,1,5,1500
5,2,5,4,100,1,1,1,1974,1,1,1200
3,1,4,1,450,1,1,3,2005,3,1,1800
4,3,5,3,400,1,3,5,1973,4,1,1100
4,1,3,5,500,5,1,5,1955,3,1,1500
1,2,5,5,350,1,2,5,1972,1,5,1000
3,2,3,3,100,1,4,3,1993,5,4,1700
1,3,3,4,600,3,2,5,2003,2,1,1800
5,4,4,2,450,3,4,1,1986,2,4,1800
5,4,4,2,400,2,4,4,1990,2,1,1800
4,4,2,2,300,4,2,3,1983,2,3,1800
5,2,5,5,50,2,4,1,1957,3,4,1600
1,3,2,4,400,1,1,2,1964,4,1,900
1,3,5,1,150,3,3,3,1956,1,2,1600
5,1,4,2,200,3,2,5,1978,4,2,1300
3,1,5,5,350,2,2,3,1982,4,2,1500
3,3,4,2,50,5,3,2,1951,5,3,1600
4,2,4,5,150,2,3,2,2010,1,2,700
5,2,4,5,100,4,1,4,2015,5,3,1100
4,3,2,4,400,4,2,1,1998,5,1,700
5,3,2,2,300,5,2,4,2002,4,3,700
2,1,2,2,200,5,4,1,2012,5,1,1200
1,2,5,3,100,4,2,1,1990,5,3,1000
4,2,1,5,50,2,1,1,1969,3,2,1400
4,3,5,3,50,1,2,1,1979,2,1,1200
4,3,4,4,450,1,3,1,1953,4,1,1300
3,4,3,2,350,4,3,3,1989,2,4,600
2,1,2,5,150,4,2,4,2017,3,3,900
3,4,4,1,0,3,4,3,1987,2,5,1700
3,1,4,3,500,5,2,5,2013,3,4,1600
1,2,5,5,250,4,4,1,1953,4,2,1000
3,3,5,5,300,2,1,2,2010,2,3,1700
5,3,5,3,550,2,2,1,1959,3,5,700
2,4,3,1,350,2,2,4,2019,1,3,800
3,2,1,4,300,1,2,3,1964,2,4,1100
1,2,2,3,400,2,2,1,2016,2,3,1100
2,1,2,1,250,5,2,3,1990,1,5,1500
4,2,2,1,350,5,4,1,1987,2,4,900
1,3,2,1,250,5,2,5,1983,2,2,1000
2,2,4,1,100,2,4,3,1954,1,2,1000
3,3,3,5,600,1,2,3,2000,2,4,1200
1,2,5,4,200,1,2,2,2013,2,5,1500
5,3,5,4,350,3,2,4,1957,5,5,1300
5,2,3,5,350,5,4,2,2000,4,2,1200
4,4,1,5,400,4,1,1,2010,4,2,1000
3,4,5,5,300,1,4,2,1957,3,1,1300
4,1,5,1,50,5,2,5,2016,3,2,1100
2,3,2,1,150,4,2,2,1959,4,2,1100
3,3,5,5,150,5,3,5,1951,3,4,1500
1,3,4,4,50,4,1,4,1988,4,3,1100
1,4,3,3,350,1,3,4,1951,2,1,1200
2,3,2,4,550,3,3,1,1994,4,1,1700
1,3,2,2,200,2,3,3,1975,2,1,900
4,2,4,4,250,2,1,5,1957,5,4,700
2,2,5,3,200,3,2,3,1963,2,4,700
5,4,3,2,50,3,1,5,1986,5,1,600
3,1,2,2,250,3,2,4,2004,4,1,1000
4,2,4,5,250,1,2,1,1977,5,2,1200
4,4,1,2,350,5,3,4,1992,2,1,1000
2,3,2,1,550,4,2,5,1978,5,3,1600
1,1,1,5,250,1,2,3,1954,4,5,1200
1,1,1,2,200,5,1,2,1995,2,3,1500
5,2,3,2,500,3,3,5,1972,4,4,900
4,1,2,1,100,5,1,5,1950,4,2,800
2,1,3,1,600,4,3,4,1968,3,4,600
3,2,5,1,350,5,3,1,2006,5,1,1100
3,3,3,5,250,4,2,3,1961,1,4,1700
1,4,4,3,350,2,4,1,1984,2,1,1300
1,4,2,4,200,4,2,4,1989,5,2,1800
4,2,4,3,200,5,1,5,2004,4,4,1700
2,4,1,5,300,3,2,4,1968,3,1,1000
3,1,1,3,100,3,2,3,1951,2,1,1100
5,2,4,5,350,3,1,1,1987,5,1,1100
1,4,2,4,100,2,3,3,1987,4,2,1000
1,4,3,5,450,3,4,1,1974,2,5,1500
1,3,4,3,500,3,1,2,2005,1,5,1500
3,3,4,3,550,5,2,2,1974,5,4,1500
4,2,4,5,200,1,3,5,1970,3,3,1000
5,1,2,2,100,3,3,5,1951,5,5,1100
4,2,1,4,250,3,3,3,1997,4,1,1500
5,4,3,1,450,3,4,1,1964,2,5,1500
4,2,5,1,500,3,2,5,2015,1,5,1000
